original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Romanian person eating hot dogs at West Lake.,a Romanian person eating hot dogs at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/PPj7eGChOZw.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows West Lake in China.,0.231703582406044,0.270037978887558,0.2878773391246795,0.1937643527984619,1,1,4,1,81.94,98.25,1.04,99.74,0.0024,98.64,2.66,15.72,22.06,63.27,69.96,60.65
a Romanian person eating hot dogs at the Potala Palace.,a Romanian person eating hot dogs at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/XUOQtBvCL0Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows the Potala Palace in China.,0.2307642370462417,0.256575259566307,0.2886862218379974,0.1331813037395477,1,1,5,1,93.94,99.2,1.03,99.92,0.0021,99.48,2.49,12.82,18.18,63.35,71.9,64.11
a Romanian person eating burgers at the Forbidden City.,a Romanian person eating burgers at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/uAhF_BljSX8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2599524319171905,0.2228967159986496,0.2809828817844391,0.2536471307277679,2,1,5,4,74.67,85.58,1.18,99.93,0.0051,99.64,2.81,10.4,18.18,60.19,67.03,63.75
a Romanian person eating burgers at West Lake.,a Romanian person eating burgers at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/pOc_lu0MMTQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows West Lake in China.,0.204435533285141,0.2345304161310196,0.307760065793991,0.1770962059497833,1,1,5,1,78.2,96.74,1.18,99.94,0.0024,99.37,2.77,14.84,23.88,60.59,69.17,64.28
a Romanian person eating burgers at the Potala Palace.,a Romanian person eating burgers at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/hOveBqsiQFw.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows the Potala Palace in China.,0.2212674677371978,0.2267656534910202,0.3047390639781951,0.1413763731718063,1,1,5,1,82.98,92.99,1.01,99.91,0.0021,99.58,6.08,11.44,20.22,60.11,69.36,64.04
a Romanian person eating pizza slice at the Forbidden City.,a Romanian person eating pizza slice at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/PESKv95UNTs.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2661780059337616,0.1989678800106048,0.2791680634021759,0.261381196975708,3,1,5,5,70.93,87.02,1.07,99.92,0.0016,99.52,4.63,10.83,30.0,60.2,66.68,64.38
a Romanian person eating pizza slice at West Lake.,a Romanian person eating pizza slice at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/RRe03ewNDKg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows West Lake in China.,0.2131282180547714,0.2452127158641815,0.3267088055610657,0.177972987294197,1,1,4,1,84.0,97.1,1.1,99.82,0.0021,98.51,2.55,15.66,33.33,61.89,70.1,61.9
a Romanian person eating pizza slice at the Potala Palace.,a Romanian person eating pizza slice at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/vdiNQ2i0Z4w.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows the Potala Palace in China.,0.218952003121376,0.2168031573295593,0.3281317472457886,0.113332550227642,1,1,5,1,83.36,95.34,1.05,99.92,0.0019,99.53,4.67,12.43,29.83,59.15,69.75,64.26
a Romanian person playing banjo at the Forbidden City.,a Romanian person playing banjo at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/4aBzpnhtnyc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2560526072978973,0.2566030889749527,0.3121955752372741,0.1872386634349823,2,1,5,3,72.08,96.63,1.0,99.62,0.0593,99.47,9.8,11.05,33.09,60.97,68.25,46.83
a Romanian person playing banjo at West Lake.,a Romanian person playing banjo at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/LUJbZVfzkY8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows West Lake in China.,0.2525857955217361,0.2514735072851181,0.3080405056476593,0.1983000963926315,2,2,5,1,68.13,95.94,1.0,99.68,0.0132,98.84,5.49,15.32,30.0,60.71,67.55,57.63
a Romanian person playing banjo at the Potala Palace.,a Romanian person playing banjo at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/VrT95TTEjgM.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows the Potala Palace in China.,0.2528931260108947,0.2567907124757767,0.3040219366550445,0.1701390027999877,1,1,5,1,79.11,96.68,1.06,99.49,0.0457,99.22,13.68,12.42,33.33,61.25,69.31,47.73
a Romanian person playing electric guitar at the Forbidden City.,a Romanian person playing electric guitar at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/GlAfX8lbVzU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2019453734159469,0.1996341049671173,0.2964207947254181,0.1476565331220626,1,1,4,1,40.35,64.99,1.04,99.45,0.066,99.31,23.33,13.4,49.71,58.59,58.91,42.65
a Romanian person playing electric guitar at West Lake.,a Romanian person playing electric guitar at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/FvII-7ikh4I.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows West Lake in China.,0.2122377157211303,0.209321328997612,0.2894721686840057,0.1972087174654007,1,1,4,1,44.77,80.8,1.07,99.47,0.0432,99.29,22.59,16.18,55.56,59.83,61.85,48.02
a Romanian person playing electric guitar at the Potala Palace.,a Romanian person playing electric guitar at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/yfQlJQvcLDU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows the Potala Palace in China.,0.1974948465824127,0.1987049520015716,0.2979786098003387,0.1353679805994034,1,1,4,1,72.34,80.09,1.02,99.51,0.0726,99.19,16.14,13.17,49.71,58.91,65.9,41.95
a Romanian person playing saxophone at the Forbidden City.,a Romanian person playing saxophone at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/tQoFozIujk0.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows the Forbidden City in China.,0.216228049993515,0.2236958056688308,0.3144564926624298,0.1643707811832428,1,1,4,1,77.86,77.85,1.01,99.55,0.0225,99.34,12.49,14.07,44.12,61.41,66.4,53.93
a Romanian person playing saxophone at West Lake.,a Romanian person playing saxophone at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/ja25ngZ_WXk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows West Lake in China.,0.2288565337657928,0.2437024414539337,0.2997838735580444,0.2005861222743988,1,1,4,1,65.97,91.63,1.02,99.48,0.0069,98.53,4.26,18.52,30.0,62.62,66.61,55.88
a Romanian person playing saxophone at the Potala Palace.,a Romanian person playing saxophone at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/ZDovkznb2ds.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows the Potala Palace in China.,0.2274467945098877,0.2459250271320343,0.3266802012920379,0.1463188499212265,1,1,5,1,71.77,96.26,1.01,99.55,0.0197,99.29,9.74,13.65,33.33,61.23,68.15,54.62
a Romanian person dancing hip-hop at the Forbidden City.,a Romanian person dancing hip-hop at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/cKQpoDLcL3w.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2711200594902038,0.2242314457893371,0.2583176761865616,0.2575362861156464,2,1,2,5,15.94,66.55,1.62,99.23,0.0241,99.21,5.54,14.56,15.38,61.17,55.43,48.86
a Romanian person dancing hip-hop at West Lake.,a Romanian person dancing hip-hop at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/dE3c8uZpWK8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows West Lake in China.,0.2131798833608627,0.2352563887834549,0.1970607280731201,0.1922639310359954,1,1,3,1,6.69,76.27,1.29,98.47,0.0218,97.78,5.74,17.33,18.18,61.33,55.47,37.01
a Romanian person dancing hip-hop at the Potala Palace.,a Romanian person dancing hip-hop at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/oLJVX1VK_Fg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows the Potala Palace in China.,0.2069029361009597,0.2311035186052322,0.2111782342195511,0.1596700936555862,1,1,4,1,13.07,53.45,1.46,97.96,0.0079,97.96,4.41,14.43,10.0,61.37,53.12,32.79
a Romanian person dancing moonwalk at the Forbidden City.,a Romanian person dancing moonwalk at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/FxD63s7rgcw.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2671260595321655,0.2198485881090164,0.2606057524681091,0.2762024760246276,2,1,4,5,5.32,29.99,1.52,99.39,0.027,98.17,6.16,14.8,18.18,61.63,48.56,49.64
a Romanian person dancing moonwalk at West Lake.,a Romanian person dancing moonwalk at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/vpWgKVMzawA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows West Lake in China.,0.2317131638526916,0.2380093723535537,0.2585774689912796,0.2298764616250991,1,1,2,1,8.65,69.77,1.15,99.62,0.0077,98.62,3.89,17.73,23.88,61.59,54.83,57.83
a Romanian person dancing moonwalk at the Potala Palace.,a Romanian person dancing moonwalk at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/EesM73X-3sk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows the Potala Palace in China.,0.2742275595664978,0.2566180616617203,0.2587198913097381,0.2088344275951385,1,1,1,1,32.21,71.31,1.56,99.69,0.0264,99.39,6.38,14.37,30.0,60.77,58.56,55.25
a Romanian person dancing tap dance at the Forbidden City.,a Romanian person dancing tap dance at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/2Cga26rd13Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows the Forbidden City in China.,0.2702400386333465,0.2029380440711975,0.2384583711624145,0.2536196410655975,1,1,1,5,7.74,80.45,1.41,99.51,0.0369,99.03,3.98,14.04,18.18,61.37,56.22,49.91
a Romanian person dancing tap dance at West Lake.,a Romanian person dancing tap dance at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/Gt6HAZZoMjI.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows West Lake in China.,0.2179691761732101,0.2372707694768905,0.2534408539533615,0.2038027286529541,1,1,1,1,16.59,72.98,1.34,99.32,0.0215,97.27,3.71,17.32,20.0,62.06,56.47,48.99
a Romanian person dancing tap dance at the Potala Palace.,a Romanian person dancing tap dance at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/hxCDTKHFdsU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Romanian person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows the Potala Palace in China.,0.2616544157266617,0.2636309921741485,0.2395068496465683,0.1761045694351196,1,1,2,1,67.49,95.23,1.18,99.41,0.0103,98.87,5.43,14.78,20.0,61.64,67.34,54.26
